time,xg,yg,zg,ug,vg,wg,phi,theta,psi
0,-120,0,-0.55,0,0,0,0,-0,0
0.005,-120,0,-0.55,0,0,0,0,-0,0
0.01,-120,0,-0.55,0,0,0,0,-0,0
0.015,-120,0,-0.55,0,0,0,0,-0,0
0.02,-120,0,-0.55,0,0,0,0,-0,0
0.025,-120,0,-0.55,0,0,0,0,-0,0
0.03,-120,0,-0.55,0,0,0,0,-0,0
0.035,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.04,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.045,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.05,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.055,-120,0,-0.55,0,0,0,0,-0,0
0.06,-120,0,-0.55,0,0,0,0,-0,0
0.065,-120,0,-0.55,0,0,0,0,-0,0
0.07,-120,0,-0.55,0,0,0,0,-0,0
0.075,-120,0,-0.55,0,0,0,0,-0,0
0.08,-120,0,-0.55,0,0,0,0,-0,0
0.085,-120,0,-0.55,0,0,0,0,-0,0
0.09,-120,0,-0.55,0,0,0,0,-0,0
0.095,-120,0,-0.55,0,0,0,0,-0,0
0.1,-120,0,-0.55,0,0,0,0,-0,0
0.105,-120,0,-0.55,0,0,0,0,-0,0
0.11,-120,0,-0.55,0,0,0,0,-0,0
0.115,-120,0,-0.55,0,0,0,0,-0,0
0.12,-120,0,-0.55,0,0,0,0,-0,0
0.125,-120,0,-0.55,0,0,0,0,-0,0
0.13,-120,0,-0.55,0,0,0,0,-0,0
0.135,-120,0,-0.55,0,0,0,0,-0,0
0.14,-120,0,-0.55,0,0,0,0,-0,0
0.145,-120,0,-0.55,0,0,0,0,-0,0
0.15,-120,0,-0.55,0,0,0,0,-0,0
0.155,-120,0,-0.55,0,0,0,0,-0,0
0.16,-120,0,-0.55,0,0,0,0,-0,0
0.165,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.17,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.175,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.18,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.185,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.19,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.195,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.2,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.205,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.21,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.215,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.22,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.225,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.23,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.235,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.24,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.245,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.25,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.255,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.26,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.265,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.27,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.275,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.28,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.285,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.29,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.295,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.3,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.305,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.31,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.315,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.32,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.325,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.33,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.335,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.34,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.345,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.35,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.355,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.36,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.365,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.37,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.375,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.38,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.385,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.39,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.395,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.4,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.405,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.41,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.415,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.42,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.425,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.43,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.435,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.44,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.445,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.45,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.455,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.46,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.465,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.47,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.475,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.48,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.485,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.49,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.495,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.5,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.505,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.51,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.515,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.52,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.525,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.53,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.535,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.54,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.545,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.55,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.555,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.56,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.565,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.57,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.575,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.58,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.585,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.59,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.595,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.6,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.605,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.61,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.615,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.62,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.625,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.63,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.635,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.64,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.645,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.65,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.655,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.66,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.665,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.67,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.675,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.68,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.685,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.69,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.695,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.7,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.705,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.71,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.715,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.72,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.725,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.73,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.735,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.74,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.745,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.75,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.755,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.76,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.765,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.77,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.775,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.78,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.785,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.79,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.795,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.8,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.805,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.81,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.815,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.82,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.825,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.83,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.835,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.84,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.845,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.85,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.855,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.86,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.865,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.87,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.875,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
